(3)   | 1781.700 (20:24:20.662) 2450  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1842.150 (20:25:21.112) 2535  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1842.700 (20:25:21.662) 2538  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 1843.200 (20:25:22.162) 2540  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1843.750 (20:25:22.712) 2542  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{7}   | 1843.750 (20:25:22.712) 2543  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1904.200 (20:26:23.162) 2624  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1904.700 (20:26:23.662) 2627  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1905.300 (20:26:24.262) 2630  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1905.750 (20:26:24.712) 2632  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1966.201 (20:27:25.163) 2711  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(6)   | 1966.700 (20:27:25.662) 2714  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1967.250 (20:27:26.212) 2716  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 1967.800 (20:27:26.762) 2718  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 2028.301 (20:28:27.263) 2800  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(10)  | 2028.850 (20:28:27.812) 2803  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(11)  | 2029.350 (20:28:28.312) 2805  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(12)  | 2029.800 (20:28:28.762) 2807  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(13)  | 2090.350 (20:29:29.312) 2890  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{13}  | 2090.350 (20:29:29.312) 2891  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]
